Source,Target,ConversionRate
13,1960,0.017896
13,2542,0.017896
13,3681,0.017885
13,182,0.017885
13,2983,0.017874
13,2647,0.017863
13,20,0.017852
13,1591,0.017852
13,353,0.017841
13,2694,0.017841
13,1834,0.01783
13,228,0.017797
13,1755,0.01773
13,1725,0.017675
13,5664,0.017664
13,5624,0.017664
13,2823,0.017664
13,95,0.017653
13,5401,0.017653
13,186,0.0173
13,3329,0.01698
14,1599,0.045636
14,732,0.045603
14,5045,0.045603
14,2241,0.045586
14,198,0.045569
14,2530,0.045569
14,4110,0.045552
14,2975,0.045552
14,552,0.045552
14,1634,0.045535
14,1116,0.045535
14,382,0.045519
14,2951,0.045519
14,1520,0.045451
14,5583,0.045418
14,3401,0.045401
14,5476,0.045401
14,2418,0.045401
14,2580,0.04525
14,1968,0.04525
14,2334,0.045116
14,4278,0.044981
15,891,0.029804
15,935,0.029753
15,1498,0.029753
15,3460,0.029753
15,2941,0.029727
15,2333,0.029727
15,842,0.029727
15,2583,0.029701
15,3160,0.029676
15,139,0.029676
15,3978,0.029625
15,2018,0.029625
15,643,0.029599
15,455,0.029599
15,1421,0.029599
15,4402,0.029599
15,4299,0.029574
15,2679,0.029574
15,106,0.029548
15,4324,0.029522
15,16,0.029522
15,1673,0.029446
15,5170,0.029394
15,2167,0.029369
15,4233,0.029369
15,4160,0.029343
15,3591,0.029318
15,17,0.029138
15,5401,0.029036
15,602,0.028985
15,879,0.028652
15,3877,0.028575
15,3355,0.028422
15,2425,0.028268
16,17,0.50321
16,3491,0.49679
17,1916,0.079675
17,493,0.07941
17,1048,0.079013
17,16,0.078482
17,4458,0.078085
17,624,0.077952
17,1577,0.07782
17,91,0.077422
17,1196,0.07676
17,95,0.075965
17,5299,0.074773
17,1110,0.072388
17,2874,0.072255
18,2501,0.062902
18,1015,0.062902
18,3199,0.062902
18,990,0.062871
18,1452,0.06284
18,1012,0.062809
18,4362,0.062778
18,2016,0.062778
18,2568,0.062716
18,594,0.0625
18,1127,0.062407
18,4512,0.062098
18,861,0.062036
18,2708,0.061975
18,4151,0.06182
18,3491,0.061666
19,109,0.021953
19,4399,0.021953
19,3268,0.021939
19,312,0.021939
19,21,0.021939
19,4601,0.021939
19,4694,0.021912
19,1284,0.021912
19,4377,0.021912
19,2460,0.021912
19,458,0.021912
19,5281,0.021912
19,4438,0.021899
19,4040,0.021899
19,5164,0.021886
19,3733,0.021886
19,1661,0.021886
19,727,0.021859
19,1810,0.021859
19,4981,0.021859
19,3944,0.021845
19,831,0.021845
19,467,0.021845
19,2568,0.021845
19,1738,0.021832
19,1714,0.021832
19,5607,0.021805
19,3196,0.021805
19,1760,0.021778
19,1161,0.021764
19,2762,0.021737
19,5429,0.021697
19,2733,0.02167
19,5667,0.02167
19,2580,0.021657
19,4280,0.02163
19,4146,0.021589
19,2566,0.021508
19,81,0.021495
19,1097,0.021468
19,5181,0.021441
19,4525,0.021401
19,5219,0.021374
19,5020,0.02132
19,2078,0.021064
19,3004,0.020916
20,1269,0.505047
20,1725,0.494953
21,4922,0.071708
21,1284,0.071628
21,19,0.071628
21,2975,0.071602
21,4438,0.071602
21,1810,0.071523
21,467,0.071496
21,1738,0.07147
21,58,0.071391
21,1760,0.071365
21,1161,0.071338
21,2762,0.071285
21,2939,0.071153
21,1286,0.07081
22,918,0.111439
22,1751,0.111316
22,319,0.111193
22,3412,0.111193
22,1688,0.111111
22,2597,0.111111
22,1361,0.110906
22,2418,0.110865
22,2817,0.110865
23,4680,0.209442
23,1917,0.207378
23,364,0.201187
23,2874,0.195253
23,3329,0.186739
24,4233,0.339148
24,4383,0.338098
24,4997,0.322754
25,1247,0.16853
25,2018,0.167992
25,1838,0.167452
25,560,0.166106
25,3881,0.165701
25,364,0.16422
26,1974,0.257989
26,3256,0.257086
26,253,0.255577
26,150,0.229349
27,5269,0.018313
27,269,0.018302
27,564,0.01829
27,2689,0.01829
27,243,0.01829
27,4180,0.018279
27,1700,0.018279
27,3082,0.018279
27,4328,0.018279
27,1092,0.018279
27,910,0.018279
27,4201,0.018279
27,1407,0.018268
27,3262,0.018268
27,2216,0.018268
27,168,0.018268
27,247,0.018257
27,2029,0.018257
27,3885,0.018246
27,30,0.018246
27,2700,0.018246
27,259,0.018246
27,3785,0.018246
27,3784,0.018246
27,5114,0.018234
27,2639,0.018234
27,270,0.018234
27,872,0.018234
27,2016,0.018234
27,1049,0.018223
27,727,0.018223
27,1421,0.018223
27,24,0.018212
27,1763,0.018212
27,2690,0.018212
27,2503,0.018201
27,1390,0.018189
27,5001,0.018189
27,1438,0.018189
27,2688,0.018178
27,699,0.018167
27,4119,0.018156
27,325,0.018144
27,4552,0.018122
27,1197,0.018122
27,2492,0.018111
27,1480,0.018066
27,4641,0.018043
27,2400,0.018032
27,4585,0.017998
27,2525,0.017965
27,2745,0.017954
27,1286,0.01792
27,1702,0.01774
27,2371,0.017538
28,1873,0.053739
28,4140,0.053706
28,4810,0.053574
28,638,0.053574
28,4795,0.053574
28,495,0.053475
28,105,0.05331
28,4777,0.052816
28,3703,0.052717
28,602,0.052717
28,2160,0.052684
28,4020,0.05242
28,4525,0.052387
28,4988,0.051859
28,5558,0.051826
28,5685,0.051727
28,4992,0.051661
28,3823,0.051398
28,4529,0.050837
29,484,0.112167
29,1960,0.112056
29,5606,0.111836
29,3729,0.111836
29,4900,0.111588
29,5633,0.111478
29,5075,0.11101
29,3147,0.109138
29,4113,0.10889
30,2688,0.500756
30,244,0.499244
31,413,0.255857
31,5645,0.25256
31,5424,0.251345
31,4114,0.240238
32,4898,0.174428
32,3444,0.173846
32,1917,0.172391
32,594,0.170935
32,5063,0.162496
32,5098,0.145904
33,98,1.0
34,5597,0.12573
34,2367,0.12573
34,4989,0.125302
34,5046,0.125068
34,4987,0.124951
34,4988,0.124834
34,5178,0.124795
34,4976,0.123588
35,3241,1.0
36,5624,0.502019
36,4987,0.497981
37,4292,0.16683
37,1960,0.16681
37,3912,0.166769
37,2344,0.166728
37,624,0.166667
37,1483,0.166196
38,1239,0.016853
38,1840,0.016853
38,40,0.016853
38,1504,0.01684
38,2498,0.01684
38,1518,0.01684
38,3443,0.01684
38,4414,0.01684
38,4261,0.01684
38,4586,0.016828
38,1425,0.016828
38,4906,0.016816
38,3896,0.016816
38,1881,0.016816
38,1843,0.016816
38,3245,0.016816
38,5458,0.016816
38,2346,0.016816
38,2937,0.016803
38,3780,0.016803
38,2417,0.016803
38,3465,0.016791
38,4568,0.016791
38,949,0.016791
38,3676,0.016778
38,4853,0.016778
38,3283,0.016778
38,877,0.016766
38,4195,0.016766
38,3280,0.016766
38,4609,0.016766
38,2535,0.016754
38,43,0.016754
38,2399,0.016754
38,3853,0.016741
38,1560,0.016741
38,2414,0.016716
38,2386,0.016704
38,2665,0.016704
38,1908,0.016704
38,1673,0.016691
38,3150,0.016679
38,2019,0.016679
38,610,0.016667
38,2343,0.016667
38,2341,0.016667
38,4513,0.016654
38,2328,0.01658
38,571,0.016567
38,2778,0.016555
38,2430,0.016518
38,970,0.016518
38,4281,0.01648
38,982,0.016468
38,2571,0.016344
38,4301,0.016245
38,3355,0.016195
38,2573,0.015885
38,150,0.015661
38,3006,0.015562
39,941,0.167269
39,5259,0.167105
39,4539,0.167023
39,3273,0.166776
39,2021,0.166407
39,2709,0.165421
40,4414,0.0501
40,4261,0.0501
40,4586,0.050088
40,1843,0.050076
40,1881,0.050076
40,4372,0.050076
40,38,0.050063
40,2937,0.050063
40,3465,0.050051
40,9,0.050039
40,697,0.050039
40,3676,0.050039
40,4853,0.050039
40,3280,0.050026
40,43,0.050014
40,2665,0.049965
40,1673,0.049953
40,3150,0.04994
40,4281,0.049744
40,4301,0.04951
41,2570,1.0
42,3654,0.030472
42,3222,0.030472
42,655,0.030472
42,2383,0.030446
42,690,0.030446
42,3793,0.030446
42,3220,0.030446
42,3279,0.030446
42,2136,0.030446
42,2538,0.030446
42,1752,0.030446
42,2715,0.03042
42,4612,0.03042
42,1911,0.030394
42,1895,0.030367
42,3698,0.030341
42,823,0.030341
42,3280,0.030341
42,2936,0.030341
42,1309,0.030289
42,3217,0.030289
42,1838,0.030263
42,1591,0.030236
42,107,0.03021
42,256,0.03021
42,2343,0.030131
42,2653,0.030131
42,5170,0.030131
42,3273,0.030131
42,2392,0.030079
42,647,0.030053
42,1901,0.030026
42,4703,0.029869
43,1248,0.014277
43,40,0.014277
43,4261,0.014259
43,4414,0.014259
43,4586,0.014241
43,1751,0.014241
43,2248,0.014241
43,3309,0.014241
43,1843,0.014224
43,3951,0.014224
43,2798,0.014224
43,2692,0.014224
43,1881,0.014224
43,4182,0.014224
43,38,0.014206
43,2937,0.014206
43,1641,0.014206
43,3734,0.014206
43,3465,0.014189
43,464,0.014189
43,1035,0.014189
43,1634,0.014189
43,100,0.014171
43,3676,0.014171
43,4853,0.014171
43,4885,0.014154
43,3280,0.014154
43,2936,0.014154
43,4664,0.014136
43,2025,0.014136
43,2601,0.014136
43,4539,0.014119
43,4300,0.014084
43,2753,0.014066
43,2665,0.014066
43,1673,0.014049
43,3150,0.014031
43,2653,0.014013
43,2343,0.014013
43,4809,0.013978
43,2392,0.013978
43,4076,0.013943
43,132,0.013908
43,3881,0.013873
43,3015,0.013873
43,996,0.013856
43,1865,0.013856
43,4953,0.013838
43,2948,0.013838
43,2687,0.01382
43,4844,0.013803
43,4281,0.01375
43,2160,0.013715
43,4367,0.013645
43,4151,0.013627
43,1207,0.01361
43,4531,0.013575
43,5180,0.013522
43,4018,0.013487
43,1695,0.013434
43,4301,0.013417
43,2067,0.013399
43,2427,0.013382
43,5133,0.013364
43,4368,0.013364
43,1206,0.013364
43,4530,0.013364
43,5077,0.013294
43,4025,0.013277
43,723,0.013206
43,4532,0.012452
43,5057,0.012399
44,1904,1.0
45,5028,0.071658
45,2962,0.071658
45,4009,0.071658
45,1938,0.071623
45,5225,0.071606
45,5049,0.07157
45,4885,0.071553
45,3509,0.071535
45,4339,0.071465
45,3466,0.071412
45,1783,0.071342
45,4953,0.071236
45,3491,0.070938
45,3749,0.070744
46,705,1.0
47,3257,0.032656
47,4411,0.032656
47,1733,0.032628
47,4144,0.032628
47,13,0.032572
47,709,0.032572
47,5427,0.032572
47,5468,0.032572
47,429,0.032572
47,789,0.032572
47,2717,0.032572
47,1517,0.032516
47,1208,0.032516
47,2330,0.032488
47,2256,0.032488
47,230,0.032432
47,474,0.032432
47,3057,0.032404
47,4133,0.032404
47,2431,0.032376
47,4348,0.032376
47,1278,0.032348
47,4511,0.032292
47,3864,0.032292
47,3228,0.032264
47,571,0.032011
47,928,0.03187
47,3491,0.031478
47,3749,0.031169
47,1031,0.031141
47,3329,0.03013
48,4074,0.500863
48,1049,0.499137
49,4584,0.503481
49,1235,0.496519
50,1991,0.008052
50,1371,0.008039
50,1747,0.008039
50,5207,0.008039
50,2162,0.008039
50,2240,0.008026
50,2026,0.008026
50,2310,0.008026
50,2846,0.008026
50,4625,0.008026
50,1980,0.008026
50,1431,0.008026
50,3650,0.008026
50,1343,0.008013
50,1684,0.008013
50,2771,0.008013
50,2248,0.008013
50,2650,0.008013
50,2054,0.008013
50,744,0.008013
50,1762,0.008013
50,229,0.008001
50,2191,0.008001
50,3430,0.008001
50,1696,0.008001
50,1085,0.008001
50,3387,0.008001
50,2934,0.008001
50,36,0.008001
50,844,0.008001
50,3216,0.007988
50,2204,0.007988
50,1305,0.007988
50,1948,0.007988
50,1969,0.007988
50,3142,0.007988
50,3290,0.007988
50,650,0.007988
50,3800,0.007988
50,1496,0.007988
50,3780,0.007988
50,937,0.007988
50,2258,0.007988
50,3716,0.007988
50,3637,0.007988
50,1877,0.007988
50,1360,0.007988
50,3444,0.007975
50,704,0.007975
50,1543,0.007975
50,30,0.007975
50,2921,0.007975
50,1586,0.007975
50,1961,0.007975
50,3363,0.007975
50,1606,0.007962
50,1768,0.007962
50,1186,0.007962
50,309,0.007962
50,1992,0.007962
50,980,0.007962
50,2018,0.007962
50,4471,0.007949
50,49,0.007949
50,3107,0.007949
50,1960,0.007949
50,612,0.007949
50,2534,0.007949
50,2518,0.007949
50,1737,0.007949
50,1875,0.007949
50,2030,0.007949
50,2915,0.007936
50,2568,0.007936
50,24,0.007936
50,2394,0.007923
50,1424,0.007923
50,2217,0.007923
50,2736,0.007923
50,2156,0.007923
50,253,0.007923
50,1917,0.007911
50,248,0.007911
50,1100,0.007898
50,25,0.007898
50,710,0.007898
50,3685,0.007898
50,2665,0.007885
50,2281,0.007885
50,2307,0.007885
50,48,0.007885
50,1834,0.007872
50,1902,0.007872
50,624,0.007859
50,439,0.007859
50,3913,0.007846
50,4574,0.007834
50,1618,0.007834
50,4,0.007821
50,746,0.007808
50,1500,0.007808
50,1804,0.007808
50,2369,0.007795
50,3334,0.007795
50,560,0.007782
50,2311,0.007769
50,224,0.007731
50,1335,0.007705
50,5649,0.007692
50,1725,0.007692
50,928,0.007679
50,1235,0.007679
50,3761,0.007679
50,4066,0.007641
50,1497,0.007628
50,81,0.007602
50,3005,0.007602
50,2571,0.007512
50,2570,0.007487
50,5063,0.007474
50,5062,0.007409
50,1702,0.007397
50,723,0.007255
50,186,0.007255
50,1985,0.00714
50,2573,0.007037
50,1219,0.00669
51,87,0.020911
51,5391,0.020906
51,85,0.020906
51,231,0.020906
51,3608,0.020906
51,1994,0.020901
51,232,0.020901
51,76,0.020901
51,384,0.020901
51,463,0.020901
51,53,0.020901
51,141,0.020901
51,1716,0.020901
51,4985,0.020901
51,2346,0.020896
51,2257,0.020896
51,3560,0.020896
51,276,0.020896
51,112,0.020896
51,2764,0.020891
51,227,0.020881
51,588,0.020876
51,1766,0.020876
51,5779,0.02087
51,236,0.02087
51,2066,0.02087
51,5264,0.02087
51,1193,0.020865
51,5535,0.020855
51,48,0.02085
51,2408,0.02085
51,1927,0.02085
51,102,0.020845
51,383,0.02084
51,2097,0.02084
51,5678,0.020834
51,228,0.020829
51,5682,0.020829
51,4319,0.020793
51,4882,0.020793
51,4903,0.020778
51,4522,0.020758
51,3703,0.020752
51,4219,0.020722
51,4218,0.020691
51,5056,0.020593
51,4114,0.020414
51,4113,0.020286
52,670,0.034592
52,3002,0.034592
52,4296,0.034579
52,3496,0.034567
52,2739,0.034567
52,2934,0.034554
52,4247,0.034554
52,62,0.034554
52,1949,0.034554
52,2255,0.034541
52,762,0.034541
52,2512,0.034541
52,1759,0.034541
52,54,0.034528
52,1634,0.034528
52,1721,0.034516
52,215,0.034503
52,4412,0.034503
52,495,0.03449
52,101,0.03449
52,3912,0.034477
52,66,0.034477
52,152,0.034477
52,33,0.034465
52,537,0.034465
52,2420,0.034325
52,2778,0.034287
52,4844,0.034248
52,2427,0.033943
53,87,0.011501
53,51,0.011501
53,5391,0.011496
53,85,0.011496
53,231,0.011496
53,141,0.01149
53,384,0.01149
53,1994,0.01149
53,76,0.01149
53,232,0.01149
53,463,0.01149
53,4985,0.01149
53,1716,0.01149
53,276,0.011484
53,213,0.011484
53,2246,0.011484
53,5458,0.011484
53,2257,0.011484
53,2346,0.011484
53,112,0.011484
53,2764,0.011479
53,227,0.011468
53,2236,0.011468
53,1766,0.011462
53,588,0.011462
53,3614,0.011462
53,4623,0.011462
53,5789,0.011462
53,5259,0.011462
53,5779,0.011456
53,5264,0.011456
53,2066,0.011456
53,3473,0.011456
53,236,0.011456
53,5538,0.011451
53,1193,0.011451
53,5535,0.011439
53,1100,0.011439
53,1074,0.011439
53,1927,0.011434
53,2408,0.011434
53,48,0.011434
53,1931,0.011428
53,434,0.011422
53,383,0.011422
53,2097,0.011422
53,5678,0.011417
53,228,0.011411
53,5682,0.011411
53,4540,0.011388
53,5673,0.011383
53,4882,0.011372
53,5593,0.011372
53,5680,0.011366
53,4903,0.011355
53,4221,0.011343
53,5628,0.011343
53,4522,0.011332
53,5595,0.011326
53,3703,0.011326
53,4506,0.011326
53,3438,0.011315
53,4709,0.011315
53,5635,0.011309
53,4461,0.011304
53,2982,0.011298
53,4219,0.011293
53,5627,0.011281
53,5412,0.011281
53,4525,0.01127
53,5112,0.011264
53,4218,0.011259
53,5630,0.011253
53,5075,0.011247
53,4972,0.01123
53,4023,0.011225
53,1702,0.011219
53,4024,0.011197
53,4987,0.011197
53,5076,0.011191
53,4988,0.01118
53,5056,0.011151
53,475,0.011078
53,2573,0.011061
53,4794,0.010971
53,4114,0.010954
53,4892,0.010892
53,4113,0.010813
54,4430,0.016833
54,3002,0.016833
54,768,0.016818
54,315,0.016818
54,1874,0.016818
54,1739,0.016818
54,52,0.016818
54,2878,0.016804
54,3496,0.016804
54,1333,0.016804
54,2739,0.016804
54,875,0.016804
54,2847,0.016804
54,3421,0.016789
54,2934,0.016789
54,2879,0.016789
54,3396,0.016789
54,821,0.016789
54,484,0.016789
54,931,0.016789
54,626,0.016789
54,62,0.016789
54,4247,0.016789
54,2255,0.016775
54,179,0.016775
54,3454,0.016775
54,447,0.016775
54,2512,0.016775
54,178,0.016775
54,3455,0.01676
54,173,0.01676
54,3251,0.01676
54,275,0.016746
54,1876,0.016732
54,3788,0.016732
54,1875,0.016732
54,215,0.016732
54,2978,0.016717
54,182,0.016717
54,1424,0.016703
54,537,0.016688
54,1828,0.016659
54,2408,0.016659
54,3319,0.016645
54,1878,0.016645
54,581,0.016645
54,2492,0.016587
54,560,0.016543
54,2420,0.016529
54,571,0.0165
54,2778,0.016486
54,4844,0.016442
54,928,0.016428
54,1307,0.01637
54,364,0.016341
54,380,0.016326
54,116,0.016254
54,2427,0.016095
54,1031,0.016052
54,1072,0.015892
55,2465,0.024567
55,3243,0.024552
55,4169,0.024552
55,2050,0.024552
55,5228,0.024552
55,4202,0.024537
55,67,0.024537
55,2867,0.024537
55,3855,0.024537
55,187,0.024537
55,2875,0.024537
55,2956,0.024537
55,1494,0.024522
55,3762,0.024522
55,2608,0.024507
55,1008,0.024507
55,2543,0.024507
55,1505,0.024492
55,3479,0.024492
55,1200,0.024492
55,4304,0.024492
55,5142,0.024477
55,4729,0.024477
55,3469,0.024462
55,3607,0.024462
55,3681,0.024447
55,395,0.024432
55,930,0.024417
55,16,0.024417
55,3219,0.024402
55,4458,0.024372
55,581,0.024372
55,3319,0.024372
55,1152,0.024341
55,3809,0.024191
55,1286,0.024055
55,3491,0.023934
55,5071,0.023904
55,5020,0.023859
55,4301,0.023829
55,2874,0.023708
56,2062,0.33497
56,339,0.33468
56,1844,0.33035
57,1328,0.038754
57,3921,0.038735
57,4112,0.038735
57,1317,0.038716
57,1761,0.038697
57,3278,0.038678
57,2506,0.038678
57,4084,0.038659
57,4597,0.038659
57,3210,0.03864
57,1104,0.038602
57,453,0.038602
57,786,0.038583
57,1664,0.038583
57,1807,0.038583
57,4676,0.038564
57,88,0.038526
57,2665,0.038526
57,56,0.038526
57,3956,0.038431
57,2492,0.038431
57,2201,0.038412
57,1901,0.038393
57,2823,0.038222
57,1868,0.037137
57,150,0.036928
58,105,0.020039
58,116,0.019568
58,3147,0.018297
58,2436,0.010115
58,4567,0.010115
58,5172,0.010115
58,21,0.010098
58,400,0.010098
58,2108,0.010098
58,623,0.010098
58,4534,0.010098
58,2046,0.01008
58,454,0.01008
58,4704,0.01008
58,3660,0.01008
58,679,0.01008
58,4307,0.01008
58,1736,0.01008
